10,00,14,00,休業             食堂休業,,,
10,00,14,00,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,休業 減災防災2年生全員,,,
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
10,00,14,00,休業   学力強化期間,,,
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,休業 敬老の日,,,
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
10,00,14,00,-1,-1,-1,-1
-1,-1,-1,-1,休業 秋分の日,,,
-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1
8,50,16,50,11,30,13,30 試験返却2・4年生
8,50,16,50,11,30,13,30 試験返却1・3・5年生
10,00,14,00,11,30,13,30 減災防災3年生全員
8,50,15,00,11,30,13,30 スポーツ大会
8,50,15,00,11,30,13,30 スポーツ大会
